,id,siteID,year,breakup,JulianDay
1217,4222,Tanana River at Nenana,1980,1980-04-29,120
1216,4223,Tanana River at Nenana,1981,1981-04-30,120
1215,4224,Tanana River at Nenana,1982,1982-05-10,130
1214,4225,Tanana River at Nenana,1983,1983-04-29,119
1213,4226,Tanana River at Nenana,1984,1984-05-09,130
1212,4227,Tanana River at Nenana,1985,1985-05-11,131
1211,4228,Tanana River at Nenana,1986,1986-05-08,128
1210,4229,Tanana River at Nenana,1987,1987-05-05,125
1209,4230,Tanana River at Nenana,1988,1988-04-27,118
1208,4231,Tanana River at Nenana,1989,1989-05-01,121
1207,4232,Tanana River at Nenana,1990,1990-04-24,114
1206,4233,Tanana River at Nenana,1991,1991-05-01,121
1205,4234,Tanana River at Nenana,1992,1992-05-14,135
1204,4235,Tanana River at Nenana,1993,1993-04-24,114
1203,4236,Tanana River at Nenana,1994,1994-04-29,119
1202,4237,Tanana River at Nenana,1995,1995-04-26,116
1201,4238,Tanana River at Nenana,1996,1996-05-06,127
1200,4239,Tanana River at Nenana,1997,1997-04-30,120
1199,4240,Tanana River at Nenana,1998,1998-04-20,110
1195,4339,Tanana River at Nenana,1999,1999-04-29,119
1198,4242,Tanana River at Nenana,2000,2000-05-01,122
1197,4243,Tanana River at Nenana,2001,2001-05-08,128
1196,4244,Tanana River at Nenana,2002,2002-05-07,127
1191,4350,Tanana River at Nenana,2003,2003-04-29,119
1186,4368,Tanana River at Nenana,2004,2004-04-24,115
1185,4369,Tanana River at Nenana,2005,2005-04-28,118
1179,4378,Tanana River at Nenana,2006,2006-05-07,127
1176,4388,Tanana River at Nenana,2007,2007-04-27,117
1169,4396,Tanana River at Nenana,2008,2008-05-06,127
1162,4411,Tanana River at Nenana,2009,2009-05-01,121
1158,4417,Tanana River at Nenana,2010,2010-04-29,119
1155,4426,Tanana River at Nenana,2011,2011-05-04,124
1149,4437,Tanana River at Nenana,2012,2012-04-23,114
1138,4453,Tanana River at Nenana,2013,2013-05-20,140
520,6576,Tanana River at Nenana,2014,2014-04-25,115
477,6650,Tanana River at Nenana,2015,2015-04-24,114
396,6749,Tanana River at Nenana,2016,2016-04-23,114
369,6783,Tanana River at Nenana,2017,2017-05-01,121
293,6906,Tanana River at Nenana,2018,2018-05-01,121
275,6927,Tanana River at Nenana,2019,2019-04-14,104
233,6977,Tanana River at Nenana,2020,2020-04-27,118
186,7047,Tanana River at Nenana,2021,2021-04-30,120
140,7129,Tanana River at Nenana,2022,2022-05-02,122
91,7190,Tanana River at Nenana,2023,2023-05-08,128
47,7248,Tanana River at Nenana,2024,2024-04-27,118
